bout_idx,bout_id,stop_num,stop_start_frame,stop_end_frame,stop_duration_ms,height_walk_before,height_during_stop,height_walk_after,speed_walk_before,speed_walk_after,delta_walk_to_stop,delta_stop_to_walk
11,11,14,131356,131368,15.0,2.0655594253540044,2.0513447443644206,2.029119239807129,1.967694157755567,2.729304370393744,-0.014214680989583783,-0.022225504557291664
11,11,15,131371,131399,35.0,2.055331359863281,2.0375561714172363,2.013084419250488,1.6138250087832684,8.257517729473188,-0.017775188446044865,-0.02447175216674813
11,11,16,131648,131664,20.0,2.0544655532836913,2.053350055217743,2.024624858856201,6.065517784378786,2.948662667917306,-0.0011154980659484615,-0.028725196361541805
11,11,17,131721,131733,15.0,2.022648372650146,2.023955345153808,2.018864334106445,2.936744315178185,1.4890157630839345,0.0013069725036620738,-0.005091011047363203
11,11,18,131739,131759,25.0,2.020333641052246,2.0219850349426265,2.0085221252441405,2.6889961709440664,3.902136747967203,0.0016513938903806036,-0.013462909698485959
11,11,19,131760,131775,18.75,2.0224028244018557,2.017175267537435,2.01642586517334,1.8224880373277763,9.688320244062288,-0.00522755686442089,-0.00074940236409482
11,11,20,131777,131790,16.25,2.0209644165039062,2.003463891836313,2.0284291763305666,1.5787412663090228,13.45881821863422,-0.017500524667593442,0.024965284494253837
11,11,21,132105,132116,13.75,2.2411073760986326,2.238044496016069,2.2223103790283205,2.957263069900549,1.7098408259260565,-0.0030628800825636127,-0.015734116987748514
11,11,22,132121,132146,31.25,2.242890701293945,2.229784118652344,2.1944445724487305,2.7476215706326306,1.959545828714664,-0.01310658264160125,-0.03533954620361346
11,11,23,132147,132160,16.25,2.233537185668945,2.2122118729811446,2.17853955078125,2.162986051539099,2.369346980275628,-0.02132531268780058,-0.03367232219989447
12,12,1,137962,138011,61.25,2.1410094299316405,2.1481785054109532,2.1019424972534178,2.931041220472152,2.341654568799785,0.007169075479312781,-0.04623600815753548
14,14,1,149451,149461,12.5,2.08201301574707,2.0762047195434574,2.0605833282470707,3.1838780622628806,1.8647619125611152,-0.005808296203612784,-0.015621391296386733
14,14,2,149482,149501,23.75,2.0742873992919924,2.057296331305253,2.044629814147949,2.588965413243747,2.1558174569372905,-0.016991067986739328,-0.012666517157303936
14,14,3,149534,149547,16.25,2.0494878005981447,2.0422484764686,2.034270210266113,2.094614667320325,2.230916310909165,-0.007239324129544755,-0.007978266202486761
14,14,4,149549,149574,31.25,2.0449212188720707,2.0393992919921873,2.025433044433594,2.1632982458330923,2.6185916943178214,-0.005521926879883399,-0.013966247558593103
14,14,5,149727,149740,16.25,2.0008744201660154,1.984077952458308,1.9829272994995113,3.3687587337873794,2.17118623891053,-0.016796467707707263,-0.001150652958796794
14,14,6,149760,149773,16.25,1.988009391784668,1.9834806002103365,1.97722176361084,2.9079111968244327,1.8531789754434502,-0.004528791574331503,-0.006258836599496442
14,14,7,149775,149787,15.0,1.9851464004516597,1.9761978149414061,1.975323547363281,2.192632589025171,2.0458107657339015,-0.00894858551025357,-0.000874267578125032
14,14,8,149800,149812,15.0,1.981641815185547,1.981575139363607,1.9663522033691405,1.9467541813212512,2.9489988118198984,-6.667582194008759e-05,-0.015222935994466447
14,14,9,149867,149877,12.5,1.96589111328125,1.9711809539794924,1.9683413696289063,3.422231232287598,1.9023384545096986,0.005289840698242454,-0.0028395843505861773
14,14,10,149878,149906,35.0,1.9662091903686523,1.970842279706682,1.956952392578125,3.150804086504546,2.592280983588101,0.00463308933802975,-0.013889887128557099
14,14,11,150032,150044,15.0,1.9485481185913085,1.9420915921529136,1.9341368713378906,3.117344504165701,2.4310443976882534,-0.006456526438394894,-0.00795472081502302
14,14,12,150087,150103,20.0,1.9347062454223631,1.9372511148452758,1.9328606605529786,2.448962940490615,2.3413031397289563,0.0025448694229126545,-0.00439045429229723
15,15,1,162472,162483,13.75,2.161534408569336,2.155394051291726,2.1502741622924804,10.90070570626287,3.5855417712100226,-0.00614035727761042,-0.0051198889992454255
15,15,2,162600,162611,13.75,2.0594396743774412,2.0509348782626065,2.0628823471069335,4.328380579876035,4.471373333782876,-0.00850479611483479,0.01194746884432707
15,15,3,163051,163061,12.5,2.064263534545898,2.027530403137207,2.0103905181884767,2.796093655550302,2.4684475276529985,-0.03673313140869139,-0.01713988494873009
15,15,4,163079,163091,15.0,2.0327998275756833,2.013407834370931,1.9888540420532226,2.714204279526708,5.185700952376107,-0.019391993204752378,-0.02455379231770838
21,21,1,214276,214286,12.5,2.0885587768554688,2.0787005615234375,2.0516073722839354,4.126513379624597,7.095189233263096,-0.00985821533203124,-0.027093189239502102
22,22,1,242845,242866,26.25,2.1864810867309568,2.18285398937407,2.1692020721435545,2.0764373738755215,1.6203237060882836,-0.0036270973568868214,-0.013651917230515398
22,22,2,242875,242888,16.25,2.1837410736083984,2.1689119485708384,2.1661644363403316,1.5735401414007928,2.2672317694688897,-0.014829125037560065,-0.0027475122305067323
22,22,3,242897,242915,22.5,2.1758248748779296,2.164709175957574,2.16118994140625,1.6645419696814348,4.084291959941307,-0.011115698920355577,-0.0035192345513239687
24,24,1,267215,267237,27.5,2.052379547119141,2.0393088774247605,2.04716309767503,8.452907385642884,9.139121686883822,-0.01307066969438031,0.007854220250269606
24,24,2,267240,267254,17.5,2.0498698196411134,2.0668234143938338,2.0331511064009233,3.9284127613568556,14.687271436510022,0.016953594752720402,-0.03367230799291043
27,27,1,317643,317657,17.5,2.1617657546997067,2.1601551055908206,2.159429397583008,3.249340900032812,1.1799780163332012,-0.0016106491088860864,-0.0007257080078124645
27,27,2,317666,317713,58.75,2.163022880554199,2.1582542500597364,2.1396713943481442,2.296590293307258,3.0229638054246015,-0.0047686304944627445,-0.018582855711592128
27,27,3,317728,317739,13.75,2.1566106491088863,2.1465259205211287,2.117679878234863,1.6634809249645042,3.8387148641767252,-0.010084728587757663,-0.02884604228626575
27,27,4,318070,318084,17.5,2.1272571258544923,2.117721857343401,2.1008496780395505,2.525231047207923,2.8138793876803403,-0.00953526851109121,-0.016872179303850654
27,27,5,318089,318104,18.75,2.122002136230469,2.105295639038086,2.0927757263183593,2.5704233919319095,2.089144027281315,-0.01670649719238293,-0.012519912719726634
27,27,6,318142,318153,13.75,2.0969853134155274,2.087529199773615,2.0658472824096683,2.1759020293186566,1.8112423858192646,-0.009456113641912456,-0.021681917363946646
27,27,7,318154,318166,15.0,2.0927757263183593,2.0758180618286133,2.0606588713976803,2.089144027281315,2.127157442365777,-0.016957664489746005,-0.015159190430932945
27,27,8,318170,318188,22.5,2.085019889831543,2.064477157592773,2.0566485793502247,2.0101329190565633,2.640572752343076,-0.0205427322387699,-0.007828578242548456
28,28,1,319283,319298,18.75,2.0484161148071287,2.0426570638020833,2.0345953063964846,2.4757363331852256,3.3477515189966995,-0.005759051005045368,-0.00806175740559878
28,28,2,319302,319313,13.75,2.0440648803710935,2.0423061717640274,2.0305657272338866,2.1028883314751172,5.467048995914904,-0.0017587086070660618,-0.011740444530140781
30,30,1,343587,343598,13.75,1.949242141723633,1.947638737071644,1.9278080558776858,7.1199124957757505,4.724154357278726,-0.0016034046519890488,-0.019830681193958144
30,30,2,344195,344212,21.25,1.9709316177368164,1.9561367259306066,1.9775120315551755,8.979201371526836,9.993427787515833,-0.014794891806209742,0.021375305624568908
30,30,3,344576,344592,20.0,1.968302185058594,1.9851909160614014,1.9856169662475585,4.936816236383031,3.0324632301430596,0.01688873100280741,0.0004260501861570454
30,30,4,344624,344640,20.0,1.9856118164062502,1.9851721048355104,1.9796772994995118,2.899435727179335,3.2942136963490825,-0.00043971157073974254,-0.005494805335998665
30,30,5,344674,344684,12.5,1.982705291748047,1.976949615478516,1.9615434646606444,3.3760294964448945,1.6131773814374681,-0.005755676269530996,-0.015406150817871556
30,30,6,344695,344769,92.5,1.9783662796020505,1.9566416611542572,1.969072509765625,3.2322137618222997,2.4237428138008976,-0.021724618447793276,0.012430848611367784
30,30,7,344798,344810,15.0,1.9649597015380857,1.969703165690104,1.9550116119384768,2.0929171621572586,0.9664423553010352,0.004743464152018317,-0.014691553751627229
30,30,8,344814,345066,315.0,1.9692669830322271,1.9424594667222765,1.9352449645996095,2.436715417998594,1.224326914073877,-0.026807516309950596,-0.007214502122667055
30,30,9,345075,345098,28.75,1.9375275802612304,1.9351549729056983,1.9373820266723631,1.0093977893693717,1.018342814644153,-0.0023726073555321303,0.002227053766664877
30,30,10,345101,345180,98.75,1.93596875,1.9337748467167717,1.9671523742675783,1.2873212113074801,3.2988952299131333,-0.0021939032832283267,0.033377527550806585
30,30,11,345184,345197,16.25,1.9315443725585937,1.947334494957557,1.9845282821655272,1.2108202342282737,4.3541667923075185,0.01579012239896338,0.037193787207970175
30,30,12,345328,345344,20.0,1.9376519737243652,1.940988266468048,1.93869153213501,3.7357443858806016,3.7406393841522787,0.003336292743682856,-0.0022967343330380086
30,30,13,345479,345489,12.5,1.9242521972656248,1.9118916702270508,1.9072866363525391,3.1799485804985896,2.8099855804223957,-0.012360527038574043,-0.00460503387451161
30,30,14,345506,345518,15.0,1.9144408721923827,1.9062012036641438,1.9064938735961912,3.2481557960203853,2.5604390418438836,-0.008239668528238875,0.00029266993204735137
30,30,15,345545,345558,16.25,1.9069627914428713,1.906956569965069,1.9039413528442382,2.9060370441298913,2.266985582973853,-6.22147780227067e-06,-0.00301521712083086
30,30,16,345604,345619,18.75,1.9042112121582033,1.9034646860758462,1.9058581695556642,2.4050136381642298,2.4107554379506526,-0.0007465260823571462,0.002393483479818048
30,30,17,345621,345632,13.75,1.9037880630493165,1.9030907024036756,1.909017845153809,2.3957053102938812,2.489029273798118,-0.0006973606456408543,0.005927142750133285
30,30,18,345662,345677,18.75,1.9046274414062498,1.9139342753092448,1.9188056869506835,2.390718982220416,2.556782663297067,0.009306833902994915,0.004871411641438783
